i,x,y,k,v
0,0.00168897,0.00160893,0,1.1
1,0.00179516,0.00158006,61.9477,0.15
2,0.00696827,-0.000902802,308.474,0.15
3,0.00821928,0.00230563,299.864,0.15
4,0.0135732,-0.000664965,112.754,0.15
5,0.0208332,0.0014758,4.59149,0.690851
6,0.0278704,0.00329281,47.1095,0.15
7,0.0359564,0.00238152,75.8003,0.15
8,0.042695,0.006027,23.6588,0.15
9,0.0517338,0.00875602,40.7688,0.15
10,0.0594246,0.0151284,3.25505,0.824495
11,0.0704729,0.0235802,7.41939,0.408061
12,0.0797318,0.032235,12.9552,0.15
13,0.0911111,0.0397097,7.18658,0.431342
14,0.101677,0.0482354,6.11114,0.538886
15,0.114354,0.060643,9.34285,0.215715
16,0.125502,0.0761292,4.08412,0.741588
17,0.13865,0.091602,10.7507,0.15
18,0.148492,0.110495,2.41842,0.908158
19,0.16078,0.131222,7.09573,0.440427
20,0.169082,0.152785,0.010833,1.1
21,0.179057,0.178718,0.285253,1.1
22,0.189447,0.206402,4.21269,0.728731
23,0.19608,0.233839,4.06435,0.743565
24,0.199764,0.266047,0.0598936,1.1
25,0.203465,0.297857,4.22019,0.727981
26,0.202757,0.330845,0.634507,1.08655
27,0.203071,0.384149,2.33797,0.916203
28,0.196085,0.440638,2.38707,0.911293
29,0.197213,0.502076,1.86328,0.963672
30,0.149597,0.703092,0.0648402,1.1
31,0.104673,0.904744,0.191201,1.1
32,0.0666922,1.11459,0.102688,1.1
33,0.0350373,1.31358,0.381539,1.1
34,0.0183226,1.52527,0.153942,1.1
35,0.00829112,1.74584,0.00680302,1.1
36,-0.0017647,1.97465,0.0827025,1.1
37,-0.00705599,2.17773,0.224397,1.1
38,-0.00309327,2.38068,0.0682479,1.1
39,-0.00194482,2.58559,0.0340052,1.1
40,-0.00222204,2.79004,0.223999,1.1
41,-0.0127222,3.00633,0.0459669,1.1
42,-0.0209384,3.21882,0.0708222,1.1
43,-0.0259616,3.43191,0.143679,1.1
44,-0.0383144,3.6562,0.0924546,1.1
45,-0.046181,3.8881,0.0391168,1.1
46,-0.0553935,4.10387,0.194776,1.1
47,-0.0722935,4.30591,0.0306523,1.1
48,-0.0893825,4.52759,0.0992422,1.1
49,-0.110786,4.74365,0.421747,1.1
50,-0.138091,4.89611,0.0535272,1.1
51,-0.160965,5.01855,0.59227,1.09077
52,-0.185435,5.11407,0.467649,1.1
53,-0.211173,5.1989,2.0384,0.94616
54,-0.241633,5.26105,1.33499,1.0165
55,-0.257716,5.30126,2.7016,0.87984
56,-0.286128,5.35125,1.42842,1.00716
57,-0.306505,5.38207,3.01684,0.848316
58,-0.345419,5.4257,0.430703,1.1
59,-0.369399,5.45372,5.52558,0.597442
60,-0.394054,5.4734,1.44958,1.00504
61,-0.422527,5.49396,4.94735,0.655265
62,-0.456787,5.51027,7.59293,0.390707
63,-0.469563,5.51998,8.62768,0.287232
64,-0.497878,5.53348,0.669238,1.08308
65,-0.523964,5.54528,1.41748,1.00825
66,-0.55364,5.55719,2.26444,0.923556
67,-0.581191,5.5661,0.300609,1.1
68,-0.609036,5.57538,8.85797,0.264203
69,-0.642309,5.57682,1.25363,1.02464
70,-0.668299,5.57891,6.11891,0.538109
71,-0.697444,5.57631,2.89035,0.860965
72,-0.722859,5.57198,1.91637,0.958363
73,-0.751288,5.56558,1.744,0.9756
74,-0.774775,5.55914,1.93629,0.956371
75,-0.803079,5.54974,6.6533,0.48467
76,-0.827137,5.53623,1.19867,1.03013
77,-0.848595,5.52328,1.56996,0.993004
78,-0.870871,5.50856,7.23404,0.426596
79,-0.884746,5.49565,0.786483,1.07135
80,-0.901922,5.4802,5.89653,0.560347
81,-0.916539,5.46296,2.14549,0.935451
82,-0.930532,5.44792,7.3542,0.41458
83,-0.941689,5.43166,5.14674,0.635326
84,-0.955732,5.40408,1.36338,1.01366
85,-0.964546,5.38514,2.79617,0.870383
86,-0.97948,5.35829,10.0494,0.15
87,-0.984262,5.34021,3.69717,0.780283
88,-0.994406,5.31227,4.08496,0.741504
89,-1.00119,5.28268,3.98472,0.751528
90,-1.00436,5.25221,0.752376,1.07476
91,-1.00808,5.22294,3.68835,0.781165
92,-1.00794,5.18204,1.1636,1.03364
93,-1.00479,5.12836,0.681381,1.08186
94,-0.983919,4.97028,0.0844033,1.1
95,-0.954242,4.76928,0.24596,1.1
96,-0.934699,4.56779,0.0534769,1.1
97,-0.915792,4.3468,0.0159249,1.1
98,-0.897635,4.12536,0.304594,1.1
99,-0.894331,3.91219,0.050902,1.1
100,-0.888546,3.69376,0.178004,1.1
101,-0.891148,3.47878,0.1055,1.1
102,-0.88876,3.25866,0.111946,1.1
103,-0.88187,3.05838,0.0284409,1.1
104,-0.875696,2.84143,0.00116646,1.1
105,-0.869509,2.62207,0.0424189,1.1
106,-0.865256,2.39501,0.0926419,1.1
107,-0.865497,2.19214,0.14599,1.1
108,-0.859553,1.98525,0.140205,1.1
109,-0.847319,1.77466,0.171621,1.1
110,-0.842742,1.56974,0.0359559,1.1
111,-0.836167,1.35038,0.153352,1.1
112,-0.822599,1.13615,0.130694,1.1
113,-0.803459,0.926489,0.392831,1.1
114,-0.779681,0.780502,0.188471,1.1
115,-0.763902,0.695498,1.10827,1.03917
116,-0.738661,0.608308,0.361018,1.1
117,-0.713227,0.529745,1.08777,1.04122
118,-0.682872,0.458024,0.329079,1.1
119,-0.659904,0.406924,1.64309,0.985691
120,-0.641289,0.372877,2.74301,0.875699
121,-0.612328,0.332467,1.07703,1.0423
122,-0.592734,0.307514,0.212917,1.1
123,-0.563011,0.268989,1.60104,0.989896
124,-0.533173,0.23577,1.81849,0.968151
125,-0.500137,0.204559,1.22225,1.02777
126,-0.46637,0.17599,2.50329,0.899671
127,-0.436579,0.155541,0.990144,1.05099
128,-0.404866,0.135433,1.24138,1.02586
129,-0.35783,0.109225,0.566738,1.09333
130,-0.316052,0.0874892,2.56693,0.893307
131,-0.276167,0.0722737,1.96073,0.953927
132,-0.238658,0.0613146,3.53249,0.796751
133,-0.205084,0.0560641,5.21292,0.628708
134,-0.165356,0.0413614,6.49975,0.500025
135,-0.125254,0.0379374,3.52374,0.797626
136,-0.0888953,0.0397562,5.97836,0.552164
137,-0.0508962,0.0330513,5.90565,0.559435
138,-0.0545176,0.0340837,463.975,0.15
139,-0.0529297,0.0347131,1168.97,0.15
140,-0.0538271,0.0335065,178.883,0.15
141,-0.0549063,0.0326468,680.363,0.15
142,-0.0531269,0.0334667,925.484,0.15
143,-0.0536548,0.0337095,1421.21,0.15
144,-0.0538589,0.0323313,981.663,0.15
145,-0.0526906,0.033875,589.693,0.15
146,-0.0530346,0.0349692,1253.37,0.15
147,-0.0534383,0.0334592,570.369,0.15
148,-0.0527165,0.0323661,676.29,0.15
149,-0.0531811,0.0327932,1200.57,0.15
150,-0.0516492,0.0334449,834.387,0.15
151,-0.0531268,0.0327739,1223.67,0.15
152,-0.0530211,0.0337604,176.179,0.15
153,-0.0530363,0.0334404,811.99,0.15
154,-0.0512105,0.0324661,38.0743,0.15
155,-0.0519031,0.0328141,697.628,0.15
156,-0.0532845,0.0323161,1232.12,0.15
157,-0.0530618,0.0336225,1493.74,0.15
158,-0.0526535,0.0334702,3979.84,0.15
159,-0.0530239,0.0332097,827.038,0.15
160,-0.0524215,0.034813,169.681,0.15
161,-0.0531572,0.0320501,0,1.1
